id,assessmentPdiId,competenciaId,peso,notaCorte,microInicio,microTermino,createdAt,updatedAt,nivelAtual,metaFinal,justificativa,metaCiclo1,metaCiclo2
62507,60399,30021,opcional,8.00,2025-08-08 00:00:00,2025-09-12 00:00:00,2026-03-05 20:45:23,2026-03-07 00:16:30,,,,,
62508,60399,30022,opcional,8.00,2025-04-20 00:00:00,2025-05-25 00:00:00,2026-03-05 20:45:23,2026-03-07 00:16:30,,,,,
62509,60399,30028,obrigatoria,8.00,2025-06-29 00:00:00,2025-08-03 00:00:00,2026-03-05 20:45:23,2026-03-07 00:16:30,,,,,
62510,60400,30034,obrigatoria,8.00,2026-01-12 00:00:00,2026-02-16 00:00:00,2026-03-05 20:45:23,2026-03-07 00:16:31,,,,,
62511,60400,30013,obrigatoria,8.00,2025-05-20 00:00:00,2025-06-24 00:00:00,2026-03-05 20:45:23,2026-03-07 00:16:30,,,,,
62512,60400,30015,obrigatoria,8.00,2025-10-27 00:00:00,2025-12-01 00:00:00,2026-03-05 20:45:23,2026-03-07 00:16:31,,,,,
62513,60400,30016,obrigatoria,8.00,2025-09-17 00:00:00,2025-10-22 00:00:00,2026-03-05 20:45:23,2026-03-07 00:16:30,,,,,
62514,60400,30035,obrigatoria,8.00,2026-01-30 00:00:00,2026-03-06 00:00:00,2026-03-05 20:45:23,2026-03-07 00:16:31,,,,,
62515,60400,30036,obrigatoria,8.00,2026-02-24 00:00:00,2026-03-31 00:00:00,2026-03-05 20:45:23,2026-03-05 20:45:23,,,,,
62516,60400,30021,opcional,8.00,2025-08-08 00:00:00,2025-09-12 00:00:00,2026-03-05 20:45:23,2026-03-07 00:16:30,,,,,
62517,60400,30022,obrigatoria,8.00,2025-04-20 00:00:00,2025-05-25 00:00:00,2026-03-05 20:45:23,2026-03-07 00:16:30,,,,,
62518,60400,30028,opcional,8.00,2025-06-29 00:00:00,2025-08-03 00:00:00,2026-03-05 20:45:23,2026-03-07 00:16:30,,,,,
62519,60401,30034,obrigatoria,8.00,2026-01-12 00:00:00,2026-02-16 00:00:00,2026-03-05 20:45:23,2026-03-07 00:16:31,,,,,
62520,60401,30013,opcional,8.00,2025-05-20 00:00:00,2025-06-24 00:00:00,2026-03-05 20:45:23,2026-03-07 00:16:31,,,,,
62521,60401,30015,obrigatoria,8.00,2025-10-27 00:00:00,2025-12-01 00:00:00,2026-03-05 20:45:23,2026-03-07 00:16:31,,,,,
62522,60401,30016,obrigatoria,8.00,2025-09-17 00:00:00,2025-10-22 00:00:00,2026-03-05 20:45:24,2026-03-07 00:16:31,,,,,
